Bates/Control #,Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD023-0000921,SYNLCPLD023-0000921,SYNLCPLD023-0000923,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000925,SYNLCPLD023-0000925,SYNLCPLD023-0000925,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000929,SYNLCPLD023-0000929,SYNLCPLD023-0000930,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000933,SYNLCPLD023-0000933,SYNLCPLD023-0000935,,,,,,Yes,,,,Yes,,
SYNLCPLD023-0000937,SYNLCPLD023-0000937,SYNLCPLD023-0000937,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000941,SYNLCPLD023-0000941,SYNLCPLD023-0000942,,,,,,,,Yes,,Yes,,
SYNLCPLD023-0000945,SYNLCPLD023-0000945,SYNLCPLD023-0000947,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000949,SYNLCPLD023-0000949,SYNLCPLD023-0000949,,,,,,,,,,Yes,,
SYNLCPLD023-0000953,SYNLCPLD023-0000953,SYNLCPLD023-0000954,,,,,,,,,,,Yes,
SYNLCPLD023-0000957,SYNLCPLD023-0000957,SYNLCPLD023-0000959,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0000961,SYNLCPLD023-0000961,SYNLCPLD023-0000961,Yes,,,,,,,,,,Yes,
SYNLCPLD023-0000965,SYNLCPLD023-0000965,SYNLCPLD023-0000966,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000969,SYNLCPLD023-0000969,SYNLCPLD023-0000971,,,Yes,,,,,,,,Yes,
SYNLCPLD023-0000973,SYNLCPLD023-0000973,SYNLCPLD023-0000973,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000977,SYNLCPLD023-0000977,SYNLCPLD023-0000978,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000981,SYNLCPLD023-0000981,SYNLCPLD023-0000983,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000985,SYNLCPLD023-0000985,SYNLCPLD023-0000985,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000989,SYNLCPLD023-0000989,SYNLCPLD023-0000990,,,,,,,,Yes,,,,Yes
SYNLCPLD023-0000993,SYNLCPLD023-0000993,SYNLCPLD023-0000995,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000997,SYNLCPLD023-0000997,SYNLCPLD023-0000997,,,,,,,,,,Yes,,Yes
SYNLCPLD023-0001001,SYNLCPLD023-0001001,SYNLCPLD023-0001002,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0001005,SYNLCPLD023-0001005,SYNLCPLD023-0001007,,,,,,,,,,,,Yes
SYNLCPLD023-0001009,SYNLCPLD023-0001009,SYNLCPLD023-0001009,Yes,,,,,,,,,,,
SYNLCPLD023-0001013,SYNLCPLD023-0001013,SYNLCPLD023-0001014,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0001017,SYNLCPLD023-0001017,SYNLCPLD023-0001019,Yes,,Yes,,,,,,,,,
SYNLCPLD023-0001021,SYNLCPLD023-0001021,SYNLCPLD023-0001021,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0001025,SYNLCPLD023-0001025,SYNLCPLD023-0001026,Yes,,,,Yes,,,,,,,
SYNLCPLD023-0001029,SYNLCPLD023-0001029,SYNLCPLD023-0001031,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0001033,SYNLCPLD023-0001033,SYNLCPLD023-0001033,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0001037,SYNLCPLD023-0001037,SYNLCPLD023-0001038,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0001041,SYNLCPLD023-0001041,SYNLCPLD023-0001043,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0001045,SYNLCPLD023-0001045,SYNLCPLD023-0001045,,Yes,,,,,,,,Yes,,
SYNLCPLD023-0001049,SYNLCPLD023-0001049,SYNLCPLD023-0001050,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0001053,SYNLCPLD023-0001053,SYNLCPLD023-0001055,,Yes,,,,,,,,,,Yes
SYNLCPLD023-0001057,SYNLCPLD023-0001057,SYNLCPLD023-0001057,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0001061,SYNLCPLD023-0001061,SYNLCPLD023-0001062,,Yes,,,,,,,,,,
SYNLCPLD023-0001065,SYNLCPLD023-0001065,SYNLCPLD023-0001067,,,Yes,,,,,,,,,
SYNLCPLD023-0001069,SYNLCPLD023-0001069,SYNLCPLD023-0001069,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0001073,SYNLCPLD023-0001073,SYNLCPLD023-0001074,,,Yes,,Yes,,,,,,,
SYNLCPLD023-0001077,SYNLCPLD023-0001077,SYNLCPLD023-0001079,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0001081,SYNLCPLD023-0001081,SYNLCPLD023-0001081,,,Yes,,,,Yes,,,,,
SYNLCPLD023-0001085,SYNLCPLD023-0001085,SYNLCPLD023-0001086,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0001089,SYNLCPLD023-0001089,SYNLCPLD023-0001091,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0001093,SYNLCPLD023-0001093,SYNLCPLD023-0001093,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0001097,SYNLCPLD023-0001097,SYNLCPLD023-0001098,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0001101,SYNLCPLD023-0001101,SYNLCPLD023-0001103,,,,Yes,,,,,,,,Yes
SYNLCPLD023-0001105,SYNLCPLD023-0001105,SYNLCPLD023-0001105,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0001109,SYNLCPLD023-0001109,SYNLCPLD023-0001110,,Yes,,Yes,,,,,,,,
SYNLCPLD023-0001113,SYNLCPLD023-0001113,SYNLCPLD023-0001115,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0001117,SYNLCPLD023-0001117,SYNLCPLD023-0001117,,,,Yes,,,,,,,,
SYNLCPLD023-0001121,SYNLCPLD023-0001121,SYNLCPLD023-0001122,,,,,Yes,,,,,,,
SYNLCPLD023-0001125,SYNLCPLD023-0001125,SYNLCPLD023-0001127,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0001129,SYNLCPLD023-0001129,SYNLCPLD023-0001129,,,,,Yes,,Yes,,,,,
SYNLCPLD023-0001133,SYNLCPLD023-0001133,SYNLCPLD023-0001134,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0001137,SYNLCPLD023-0001137,SYNLCPLD023-0001139,,,,,Yes,,,,Yes,,,
SYNLCPLD023-0001141,SYNLCPLD023-0001141,SYNLCPLD023-0001141,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0001145,SYNLCPLD023-0001145,SYNLCPLD023-0001146,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0001149,SYNLCPLD023-0001149,SYNLCPLD023-0001151,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0001153,SYNLCPLD023-0001153,SYNLCPLD023-0001153,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0001157,SYNLCPLD023-0001157,SYNLCPLD023-0001158,,Yes,,,,Yes,,,,,,
SYNLCPLD023-0001161,SYNLCPLD023-0001161,SYNLCPLD023-0001163,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0001165,SYNLCPLD023-0001165,SYNLCPLD023-0001165,,,,Yes,,Yes,,,,,,
SYNLCPLD023-0001169,SYNLCPLD023-0001169,SYNLCPLD023-0001170,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0001173,SYNLCPLD023-0001173,SYNLCPLD023-0001175,,,,,,Yes,,,,,,
SYNLCPLD023-0001177,SYNLCPLD023-0001177,SYNLCPLD023-0001177,,,,,,,Yes,,,,,
SYNLCPLD023-0001181,SYNLCPLD023-0001181,SYNLCPLD023-0001182,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0001185,SYNLCPLD023-0001185,SYNLCPLD023-0001187,,,,,,,Yes,,Yes,,,
SYNLCPLD023-0001189,SYNLCPLD023-0001189,SYNLCPLD023-0001189,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0001193,SYNLCPLD023-0001193,SYNLCPLD023-0001194,,,,,,,Yes,,,,Yes,
SYNLCPLD023-0001197,SYNLCPLD023-0001197,SYNLCPLD023-0001199,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0001201,SYNLCPLD023-0001201,SYNLCPLD023-0001201,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0001205,SYNLCPLD023-0001205,SYNLCPLD023-0001206,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0001209,SYNLCPLD023-0001209,SYNLCPLD023-0001211,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0001213,SYNLCPLD023-0001213,SYNLCPLD023-0001213,,,,Yes,,,,Yes,,,,
SYNLCPLD023-0001217,SYNLCPLD023-0001217,SYNLCPLD023-0001218,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0001221,SYNLCPLD023-0001221,SYNLCPLD023-0001223,,,,,,Yes,,Yes,,,,
SYNLCPLD023-0001225,SYNLCPLD023-0001225,SYNLCPLD023-0001225,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0001229,SYNLCPLD023-0001229,SYNLCPLD023-0001230,,,,,,,,Yes,,,,
SYNLCPLD023-0001233,SYNLCPLD023-0001233,SYNLCPLD023-0001235,,,,,,,,,Yes,,,
SYNLCPLD023-0001237,SYNLCPLD023-0001237,SYNLCPLD023-0001237,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0001241,SYNLCPLD023-0001241,SYNLCPLD023-0001242,,,,,,,,,Yes,,Yes,
SYNLCPLD023-0001245,SYNLCPLD023-0001245,SYNLCPLD023-0001247,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0001249,SYNLCPLD023-0001249,SYNLCPLD023-0001249,Yes,,,,,,,,Yes,,,
SYNLCPLD023-0001253,SYNLCPLD023-0001253,SYNLCPLD023-0001254,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0001257,SYNLCPLD023-0001257,SYNLCPLD023-0001259,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0001261,SYNLCPLD023-0001261,SYNLCPLD023-0001261,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0001265,SYNLCPLD023-0001265,SYNLCPLD023-0001266,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0001269,SYNLCPLD023-0001269,SYNLCPLD023-0001271,,,,,,Yes,,,,Yes,,
SYNLCPLD023-0001273,SYNLCPLD023-0001273,SYNLCPLD023-0001273,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0001277,SYNLCPLD023-0001277,SYNLCPLD023-0001278,,,,,,,,Yes,,Yes,,
SYNLCPLD023-0001281,SYNLCPLD023-0001281,SYNLCPLD023-0001283,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0001285,SYNLCPLD023-0001285,SYNLCPLD023-0001285,,,,,,,,,,Yes,,
SYNLCPLD023-0001289,SYNLCPLD023-0001289,SYNLCPLD023-0001290,,,,,,,,,,,Yes,
SYNLCPLD023-0001293,SYNLCPLD023-0001293,SYNLCPLD023-0001295,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0001297,SYNLCPLD023-0001297,SYNLCPLD023-0001297,Yes,,,,,,,,,,Yes,
SYNLCPLD023-0001301,SYNLCPLD023-0001301,SYNLCPLD023-0001302,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0001305,SYNLCPLD023-0001305,SYNLCPLD023-0001307,,,Yes,,,,,,,,Yes,
SYNLCPLD023-0001309,SYNLCPLD023-0001309,SYNLCPLD023-0001309,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0001313,SYNLCPLD023-0001313,SYNLCPLD023-0001314,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0001317,SYNLCPLD023-0001317,SYNLCPLD023-0001319,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0001321,SYNLCPLD023-0001321,SYNLCPLD023-0001321,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0001325,SYNLCPLD023-0001325,SYNLCPLD023-0001326,,,,,,,,Yes,,,,Yes
SYNLCPLD023-0001329,SYNLCPLD023-0001329,SYNLCPLD023-0001331,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0001333,SYNLCPLD023-0001333,SYNLCPLD023-0001333,,,,,,,,,,Yes,,Yes
SYNLCPLD023-0001337,SYNLCPLD023-0001337,SYNLCPLD023-0001338,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0001341,SYNLCPLD023-0001341,SYNLCPLD023-0001343,,,,,,,,,,,,Yes
SYNLCPLD023-0001345,SYNLCPLD023-0001345,SYNLCPLD023-0001345,Yes,,,,,,,,,,,
SYNLCPLD023-0001349,SYNLCPLD023-0001349,SYNLCPLD023-0001350,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0001353,SYNLCPLD023-0001353,SYNLCPLD023-0001355,Yes,,Yes,,,,,,,,,
SYNLCPLD023-0001357,SYNLCPLD023-0001357,SYNLCPLD023-0001357,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0001361,SYNLCPLD023-0001361,SYNLCPLD023-0001362,Yes,,,,Yes,,,,,,,
SYNLCPLD023-0001365,SYNLCPLD023-0001365,SYNLCPLD023-0001367,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0001369,SYNLCPLD023-0001369,SYNLCPLD023-0001369,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0001373,SYNLCPLD023-0001373,SYNLCPLD023-0001374,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0001377,SYNLCPLD023-0001377,SYNLCPLD023-0001379,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0001381,SYNLCPLD023-0001381,SYNLCPLD023-0001381,,Yes,,,,,,,,Yes,,
SYNLCPLD023-0001385,SYNLCPLD023-0001385,SYNLCPLD023-0001386,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0001389,SYNLCPLD023-0001389,SYNLCPLD023-0001391,,Yes,,,,,,,,,,Yes
SYNLCPLD023-0001393,SYNLCPLD023-0001393,SYNLCPLD023-0001393,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0001397,SYNLCPLD023-0001397,SYNLCPLD023-0001398,,Yes,,,,,,,,,,
SYNLCPLD023-0001401,SYNLCPLD023-0001401,SYNLCPLD023-0001403,,,Yes,,,,,,,,,
SYNLCPLD023-0001405,SYNLCPLD023-0001405,SYNLCPLD023-0001405,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0001409,SYNLCPLD023-0001409,SYNLCPLD023-0001410,,,Yes,,Yes,,,,,,,
SYNLCPLD023-0001413,SYNLCPLD023-0001413,SYNLCPLD023-0001415,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0001417,SYNLCPLD023-0001417,SYNLCPLD023-0001417,,,Yes,,,,Yes,,,,,
SYNLCPLD023-0001421,SYNLCPLD023-0001421,SYNLCPLD023-0001422,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0001425,SYNLCPLD023-0001425,SYNLCPLD023-0001427,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0001429,SYNLCPLD023-0001429,SYNLCPLD023-0001429,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0001433,SYNLCPLD023-0001433,SYNLCPLD023-0001434,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0001437,SYNLCPLD023-0001437,SYNLCPLD023-0001439,,,,Yes,,,,,,,,Yes
SYNLCPLD023-0001441,SYNLCPLD023-0001441,SYNLCPLD023-0001441,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0001445,SYNLCPLD023-0001445,SYNLCPLD023-0001446,,Yes,,Yes,,,,,,,,
SYNLCPLD023-0001449,SYNLCPLD023-0001449,SYNLCPLD023-0001451,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0001453,SYNLCPLD023-0001453,SYNLCPLD023-0001453,,,,Yes,,,,,,,,
SYNLCPLD023-0001457,SYNLCPLD023-0001457,SYNLCPLD023-0001458,,,,,Yes,,,,,,,
SYNLCPLD023-0001461,SYNLCPLD023-0001461,SYNLCPLD023-0001463,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0001465,SYNLCPLD023-0001465,SYNLCPLD023-0001465,,,,,Yes,,Yes,,,,,
SYNLCPLD023-0001469,SYNLCPLD023-0001469,SYNLCPLD023-0001470,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0001473,SYNLCPLD023-0001473,SYNLCPLD023-0001475,,,,,Yes,,,,Yes,,,
SYNLCPLD023-0001477,SYNLCPLD023-0001477,SYNLCPLD023-0001477,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0001481,SYNLCPLD023-0001481,SYNLCPLD023-0001482,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0001485,SYNLCPLD023-0001485,SYNLCPLD023-0001487,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0001489,SYNLCPLD023-0001489,SYNLCPLD023-0001489,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0001493,SYNLCPLD023-0001493,SYNLCPLD023-0001494,,Yes,,,,Yes,,,,,,
SYNLCPLD023-0001497,SYNLCPLD023-0001497,SYNLCPLD023-0001499,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0001501,SYNLCPLD023-0001501,SYNLCPLD023-0001501,,,,Yes,,Yes,,,,,,
SYNLCPLD023-0001505,SYNLCPLD023-0001505,SYNLCPLD023-0001506,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0001509,SYNLCPLD023-0001509,SYNLCPLD023-0001511,,,,,,Yes,,,,,,
SYNLCPLD023-0001513,SYNLCPLD023-0001513,SYNLCPLD023-0001513,,,,,,,Yes,,,,,
SYNLCPLD023-0001517,SYNLCPLD023-0001517,SYNLCPLD023-0001518,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0001521,SYNLCPLD023-0001521,SYNLCPLD023-0001523,,,,,,,Yes,,Yes,,,
SYNLCPLD023-0001525,SYNLCPLD023-0001525,SYNLCPLD023-0001525,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0001529,SYNLCPLD023-0001529,SYNLCPLD023-0001530,,,,,,,Yes,,,,Yes,
SYNLCPLD023-0001533,SYNLCPLD023-0001533,SYNLCPLD023-0001535,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0001537,SYNLCPLD023-0001537,SYNLCPLD023-0001537,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0001541,SYNLCPLD023-0001541,SYNLCPLD023-0001542,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0001545,SYNLCPLD023-0001545,SYNLCPLD023-0001547,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0001549,SYNLCPLD023-0001549,SYNLCPLD023-0001549,,,,Yes,,,,Yes,,,,
SYNLCPLD023-0001553,SYNLCPLD023-0001553,SYNLCPLD023-0001554,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0001557,SYNLCPLD023-0001557,SYNLCPLD023-0001559,,,,,,Yes,,Yes,,,,
SYNLCPLD023-0001561,SYNLCPLD023-0001561,SYNLCPLD023-0001561,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0001565,SYNLCPLD023-0001565,SYNLCPLD023-0001566,,,,,,,,Yes,,,,
SYNLCPLD023-0001569,SYNLCPLD023-0001569,SYNLCPLD023-0001571,,,,,,,,,Yes,,,
SYNLCPLD023-0001573,SYNLCPLD023-0001573,SYNLCPLD023-0001573,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0001577,SYNLCPLD023-0001577,SYNLCPLD023-0001578,,,,,,,,,Yes,,Yes,
SYNLCPLD023-0001581,SYNLCPLD023-0001581,SYNLCPLD023-0001583,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0001585,SYNLCPLD023-0001585,SYNLCPLD023-0001585,Yes,,,,,,,,Yes,,,
SYNLCPLD023-0001589,SYNLCPLD023-0001589,SYNLCPLD023-0001590,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0001593,SYNLCPLD023-0001593,SYNLCPLD023-0001595,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0001597,SYNLCPLD023-0001597,SYNLCPLD023-0001597,,,,Yes,,,,,,Yes,,
