Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD024-0001205,SYNLCPLD024-0001206,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001209,SYNLCPLD024-0001211,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001213,SYNLCPLD024-0001213,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0001217,SYNLCPLD024-0001218,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001221,SYNLCPLD024-0001223,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0001225,SYNLCPLD024-0001225,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001229,SYNLCPLD024-0001230,,,,,,,,Yes,,,,
SYNLCPLD024-0001233,SYNLCPLD024-0001235,,,,,,,,,Yes,,,
SYNLCPLD024-0001237,SYNLCPLD024-0001237,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001241,SYNLCPLD024-0001242,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0001245,SYNLCPLD024-0001247,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0001249,SYNLCPLD024-0001249,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0001253,SYNLCPLD024-0001254,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001257,SYNLCPLD024-0001259,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001261,SYNLCPLD024-0001261,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001265,SYNLCPLD024-0001266,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001269,SYNLCPLD024-0001271,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0001273,SYNLCPLD024-0001273,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001277,SYNLCPLD024-0001278,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0001281,SYNLCPLD024-0001283,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001285,SYNLCPLD024-0001285,,,,,,,,,,Yes,,
SYNLCPLD024-0001289,SYNLCPLD024-0001290,,,,,,,,,,,Yes,
SYNLCPLD024-0001293,SYNLCPLD024-0001295,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001297,SYNLCPLD024-0001297,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0001301,SYNLCPLD024-0001302,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001305,SYNLCPLD024-0001307,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0001309,SYNLCPLD024-0001309,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001313,SYNLCPLD024-0001314,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001317,SYNLCPLD024-0001319,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001321,SYNLCPLD024-0001321,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001325,SYNLCPLD024-0001326,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0001329,SYNLCPLD024-0001331,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0001333,SYNLCPLD024-0001333,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0001337,SYNLCPLD024-0001338,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001341,SYNLCPLD024-0001343,,,,,,,,,,,,Yes
SYNLCPLD024-0001345,SYNLCPLD024-0001345,Yes,,,,,,,,,,,
SYNLCPLD024-0001349,SYNLCPLD024-0001350,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001353,SYNLCPLD024-0001355,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0001357,SYNLCPLD024-0001357,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001361,SYNLCPLD024-0001362,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0001365,SYNLCPLD024-0001367,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001369,SYNLCPLD024-0001369,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0001373,SYNLCPLD024-0001374,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001377,SYNLCPLD024-0001379,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001381,SYNLCPLD024-0001381,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0001385,SYNLCPLD024-0001386,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001389,SYNLCPLD024-0001391,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0001393,SYNLCPLD024-0001393,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001397,SYNLCPLD024-0001398,,Yes,,,,,,,,,,
SYNLCPLD024-0001401,SYNLCPLD024-0001403,,,Yes,,,,,,,,,
SYNLCPLD024-0001405,SYNLCPLD024-0001405,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001409,SYNLCPLD024-0001410,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0001413,SYNLCPLD024-0001415,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001417,SYNLCPLD024-0001417,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0001421,SYNLCPLD024-0001422,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001425,SYNLCPLD024-0001427,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001429,SYNLCPLD024-0001429,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001433,SYNLCPLD024-0001434,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001437,SYNLCPLD024-0001439,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0001441,SYNLCPLD024-0001441,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001445,SYNLCPLD024-0001446,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0001449,SYNLCPLD024-0001451,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001453,SYNLCPLD024-0001453,,,,Yes,,,,,,,,
SYNLCPLD024-0001457,SYNLCPLD024-0001458,,,,,Yes,,,,,,,
SYNLCPLD024-0001461,SYNLCPLD024-0001463,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001465,SYNLCPLD024-0001465,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0001469,SYNLCPLD024-0001470,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001473,SYNLCPLD024-0001475,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0001477,SYNLCPLD024-0001477,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001481,SYNLCPLD024-0001482,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001485,SYNLCPLD024-0001487,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001489,SYNLCPLD024-0001489,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001493,SYNLCPLD024-0001494,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0001497,SYNLCPLD024-0001499,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001501,SYNLCPLD024-0001501,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0001505,SYNLCPLD024-0001506,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001509,SYNLCPLD024-0001511,,,,,,Yes,,,,,,
SYNLCPLD024-0001513,SYNLCPLD024-0001513,,,,,,,Yes,,,,,
SYNLCPLD024-0001517,SYNLCPLD024-0001518,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001521,SYNLCPLD024-0001523,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0001525,SYNLCPLD024-0001525,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001529,SYNLCPLD024-0001530,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0001533,SYNLCPLD024-0001535,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001537,SYNLCPLD024-0001537,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0001541,SYNLCPLD024-0001542,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001545,SYNLCPLD024-0001547,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001549,SYNLCPLD024-0001549,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0001553,SYNLCPLD024-0001554,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001557,SYNLCPLD024-0001559,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0001561,SYNLCPLD024-0001561,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001565,SYNLCPLD024-0001566,,,,,,,,Yes,,,,
SYNLCPLD024-0001569,SYNLCPLD024-0001571,,,,,,,,,Yes,,,
SYNLCPLD024-0001573,SYNLCPLD024-0001573,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001577,SYNLCPLD024-0001578,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0001581,SYNLCPLD024-0001583,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0001585,SYNLCPLD024-0001585,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0001589,SYNLCPLD024-0001590,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001593,SYNLCPLD024-0001595,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001597,SYNLCPLD024-0001597,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001601,SYNLCPLD024-0001602,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001605,SYNLCPLD024-0001607,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0001609,SYNLCPLD024-0001609,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001613,SYNLCPLD024-0001614,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0001617,SYNLCPLD024-0001619,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001621,SYNLCPLD024-0001621,,,,,,,,,,Yes,,
SYNLCPLD024-0001625,SYNLCPLD024-0001626,,,,,,,,,,,Yes,
SYNLCPLD024-0001629,SYNLCPLD024-0001631,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001633,SYNLCPLD024-0001633,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0001637,SYNLCPLD024-0001638,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001641,SYNLCPLD024-0001643,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0001645,SYNLCPLD024-0001645,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001649,SYNLCPLD024-0001650,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001653,SYNLCPLD024-0001655,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001657,SYNLCPLD024-0001657,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001661,SYNLCPLD024-0001662,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0001665,SYNLCPLD024-0001667,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0001669,SYNLCPLD024-0001669,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0001673,SYNLCPLD024-0001674,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001677,SYNLCPLD024-0001679,,,,,,,,,,,,Yes
SYNLCPLD024-0001681,SYNLCPLD024-0001681,Yes,,,,,,,,,,,
SYNLCPLD024-0001685,SYNLCPLD024-0001686,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001689,SYNLCPLD024-0001691,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0001693,SYNLCPLD024-0001693,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001697,SYNLCPLD024-0001698,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0001701,SYNLCPLD024-0001703,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001705,SYNLCPLD024-0001705,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0001709,SYNLCPLD024-0001710,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001713,SYNLCPLD024-0001715,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001717,SYNLCPLD024-0001717,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0001721,SYNLCPLD024-0001722,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001725,SYNLCPLD024-0001727,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0001729,SYNLCPLD024-0001729,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001733,SYNLCPLD024-0001734,,Yes,,,,,,,,,,
SYNLCPLD024-0001737,SYNLCPLD024-0001739,,,Yes,,,,,,,,,
SYNLCPLD024-0001741,SYNLCPLD024-0001741,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001745,SYNLCPLD024-0001746,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0001749,SYNLCPLD024-0001751,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001753,SYNLCPLD024-0001753,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0001757,SYNLCPLD024-0001758,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001761,SYNLCPLD024-0001763,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001765,SYNLCPLD024-0001765,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001769,SYNLCPLD024-0001770,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001773,SYNLCPLD024-0001775,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0001777,SYNLCPLD024-0001777,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001781,SYNLCPLD024-0001782,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0001785,SYNLCPLD024-0001787,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001789,SYNLCPLD024-0001789,,,,Yes,,,,,,,,
SYNLCPLD024-0001793,SYNLCPLD024-0001794,,,,,Yes,,,,,,,
SYNLCPLD024-0001797,SYNLCPLD024-0001799,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001801,SYNLCPLD024-0001801,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0001805,SYNLCPLD024-0001806,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001809,SYNLCPLD024-0001811,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0001813,SYNLCPLD024-0001813,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001817,SYNLCPLD024-0001818,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001821,SYNLCPLD024-0001823,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001825,SYNLCPLD024-0001825,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001829,SYNLCPLD024-0001830,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0001833,SYNLCPLD024-0001835,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001837,SYNLCPLD024-0001837,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0001841,SYNLCPLD024-0001842,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001845,SYNLCPLD024-0001847,,,,,,Yes,,,,,,
SYNLCPLD024-0001849,SYNLCPLD024-0001849,,,,,,,Yes,,,,,
SYNLCPLD024-0001853,SYNLCPLD024-0001854,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001857,SYNLCPLD024-0001859,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0001861,SYNLCPLD024-0001861,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001865,SYNLCPLD024-0001866,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0001869,SYNLCPLD024-0001871,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001873,SYNLCPLD024-0001873,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0001877,SYNLCPLD024-0001878,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001881,SYNLCPLD024-0001883,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001885,SYNLCPLD024-0001885,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0001889,SYNLCPLD024-0001890,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001893,SYNLCPLD024-0001895,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0001897,SYNLCPLD024-0001897,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001901,SYNLCPLD024-0001902,,,,,,,,Yes,,,,
SYNLCPLD024-0001905,SYNLCPLD024-0001907,,,,,,,,,Yes,,,
SYNLCPLD024-0001909,SYNLCPLD024-0001909,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001913,SYNLCPLD024-0001914,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0001917,SYNLCPLD024-0001919,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0001921,SYNLCPLD024-0001921,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0001925,SYNLCPLD024-0001926,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001929,SYNLCPLD024-0001931,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001933,SYNLCPLD024-0001933,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001937,SYNLCPLD024-0001938,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001941,SYNLCPLD024-0001943,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0001945,SYNLCPLD024-0001945,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001949,SYNLCPLD024-0001950,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0001953,SYNLCPLD024-0001955,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0001957,SYNLCPLD024-0001957,,,,,,,,,,Yes,,
SYNLCPLD024-0001961,SYNLCPLD024-0001962,,,,,,,,,,,Yes,
SYNLCPLD024-0001965,SYNLCPLD024-0001967,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001969,SYNLCPLD024-0001969,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0001973,SYNLCPLD024-0001974,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001977,SYNLCPLD024-0001979,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0001981,SYNLCPLD024-0001981,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001985,SYNLCPLD024-0001986,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001989,SYNLCPLD024-0001991,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001993,SYNLCPLD024-0001993,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001997,SYNLCPLD024-0001998,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0002001,SYNLCPLD024-0002003,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002005,SYNLCPLD024-0002005,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0002009,SYNLCPLD024-0002010,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002013,SYNLCPLD024-0002015,,,,,,,,,,,,Yes
SYNLCPLD024-0002017,SYNLCPLD024-0002017,Yes,,,,,,,,,,,
SYNLCPLD024-0002021,SYNLCPLD024-0002022,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002025,SYNLCPLD024-0002027,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0002029,SYNLCPLD024-0002029,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002033,SYNLCPLD024-0002034,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0002037,SYNLCPLD024-0002039,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002041,SYNLCPLD024-0002041,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002045,SYNLCPLD024-0002046,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002049,SYNLCPLD024-0002051,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002053,SYNLCPLD024-0002053,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0002057,SYNLCPLD024-0002058,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002061,SYNLCPLD024-0002063,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0002065,SYNLCPLD024-0002065,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002069,SYNLCPLD024-0002070,,Yes,,,,,,,,,,
SYNLCPLD024-0002073,SYNLCPLD024-0002075,,,Yes,,,,,,,,,
SYNLCPLD024-0002077,SYNLCPLD024-0002077,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002081,SYNLCPLD024-0002082,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0002085,SYNLCPLD024-0002087,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002089,SYNLCPLD024-0002089,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0002093,SYNLCPLD024-0002094,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002097,SYNLCPLD024-0002099,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002101,SYNLCPLD024-0002101,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002105,SYNLCPLD024-0002106,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002109,SYNLCPLD024-0002111,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0002113,SYNLCPLD024-0002113,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002117,SYNLCPLD024-0002118,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0002121,SYNLCPLD024-0002123,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002125,SYNLCPLD024-0002125,,,,Yes,,,,,,,,
SYNLCPLD024-0002129,SYNLCPLD024-0002130,,,,,Yes,,,,,,,
SYNLCPLD024-0002133,SYNLCPLD024-0002135,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002137,SYNLCPLD024-0002137,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0002141,SYNLCPLD024-0002142,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002145,SYNLCPLD024-0002147,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0002149,SYNLCPLD024-0002149,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002153,SYNLCPLD024-0002154,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002157,SYNLCPLD024-0002159,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0002161,SYNLCPLD024-0002161,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002165,SYNLCPLD024-0002166,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0002169,SYNLCPLD024-0002171,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002173,SYNLCPLD024-0002173,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0002177,SYNLCPLD024-0002178,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002181,SYNLCPLD024-0002183,,,,,,Yes,,,,,,
SYNLCPLD024-0002185,SYNLCPLD024-0002185,,,,,,,Yes,,,,,
SYNLCPLD024-0002189,SYNLCPLD024-0002190,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002193,SYNLCPLD024-0002195,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0002197,SYNLCPLD024-0002197,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002201,SYNLCPLD024-0002202,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0002205,SYNLCPLD024-0002207,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0002209,SYNLCPLD024-0002209,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002213,SYNLCPLD024-0002214,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002217,SYNLCPLD024-0002219,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002221,SYNLCPLD024-0002221,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0002225,SYNLCPLD024-0002226,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002229,SYNLCPLD024-0002231,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0002233,SYNLCPLD024-0002233,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002237,SYNLCPLD024-0002238,,,,,,,,Yes,,,,
SYNLCPLD024-0002241,SYNLCPLD024-0002243,,,,,,,,,Yes,,,
SYNLCPLD024-0002245,SYNLCPLD024-0002245,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002249,SYNLCPLD024-0002250,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0002253,SYNLCPLD024-0002255,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002257,SYNLCPLD024-0002257,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0002261,SYNLCPLD024-0002262,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002265,SYNLCPLD024-0002267,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002269,SYNLCPLD024-0002269,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002273,SYNLCPLD024-0002274,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002277,SYNLCPLD024-0002279,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0002281,SYNLCPLD024-0002281,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002285,SYNLCPLD024-0002286,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0002289,SYNLCPLD024-0002291,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002293,SYNLCPLD024-0002293,,,,,,,,,,Yes,,
SYNLCPLD024-0002297,SYNLCPLD024-0002298,,,,,,,,,,,Yes,
SYNLCPLD024-0002301,SYNLCPLD024-0002303,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002305,SYNLCPLD024-0002305,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0002309,SYNLCPLD024-0002310,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002313,SYNLCPLD024-0002315,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0002317,SYNLCPLD024-0002317,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002321,SYNLCPLD024-0002322,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002325,SYNLCPLD024-0002327,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0002329,SYNLCPLD024-0002329,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0002333,SYNLCPLD024-0002334,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0002337,SYNLCPLD024-0002339,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002341,SYNLCPLD024-0002341,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0002345,SYNLCPLD024-0002346,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002349,SYNLCPLD024-0002351,,,,,,,,,,,,Yes
SYNLCPLD024-0002353,SYNLCPLD024-0002353,Yes,,,,,,,,,,,
SYNLCPLD024-0002357,SYNLCPLD024-0002358,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002361,SYNLCPLD024-0002363,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0002365,SYNLCPLD024-0002365,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002369,SYNLCPLD024-0002370,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0002373,SYNLCPLD024-0002375,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002377,SYNLCPLD024-0002377,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002381,SYNLCPLD024-0002382,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002385,SYNLCPLD024-0002387,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002389,SYNLCPLD024-0002389,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0002393,SYNLCPLD024-0002394,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002397,SYNLCPLD024-0002399,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0002401,SYNLCPLD024-0002401,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002405,SYNLCPLD024-0002406,,Yes,,,,,,,,,,
SYNLCPLD024-0002409,SYNLCPLD024-0002411,,,Yes,,,,,,,,,
SYNLCPLD024-0002413,SYNLCPLD024-0002413,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002417,SYNLCPLD024-0002418,,,Yes,,Yes,,,,,,,
