Begin Bates num from SYNTHETIC_PROD_001,Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD023-0000897,SYNEWPLD023-0000897,SYNEWPLD023-0000899,,,,,,,,,Yes,,,
SYNEWPLD023-0000901,SYNEWPLD023-0000901,SYNEWPLD023-0000901,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000905,SYNEWPLD023-0000905,SYNEWPLD023-0000906,,,,,,,,,Yes,,Yes,
SYNEWPLD023-0000909,SYNEWPLD023-0000909,SYNEWPLD023-0000911,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000913,SYNEWPLD023-0000913,SYNEWPLD023-0000913,Yes,,,,,,,,Yes,,,
SYNEWPLD023-0000917,SYNEWPLD023-0000917,SYNEWPLD023-0000918,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000921,SYNEWPLD023-0000921,SYNEWPLD023-0000923,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000925,SYNEWPLD023-0000925,SYNEWPLD023-0000925,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000929,SYNEWPLD023-0000929,SYNEWPLD023-0000930,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000933,SYNEWPLD023-0000933,SYNEWPLD023-0000935,,,,,,Yes,,,,Yes,,
SYNEWPLD023-0000937,SYNEWPLD023-0000937,SYNEWPLD023-0000937,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000941,SYNEWPLD023-0000941,SYNEWPLD023-0000942,,,,,,,,Yes,,Yes,,
SYNEWPLD023-0000945,SYNEWPLD023-0000945,SYNEWPLD023-0000947,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000949,SYNEWPLD023-0000949,SYNEWPLD023-0000949,,,,,,,,,,Yes,,
SYNEWPLD023-0000953,SYNEWPLD023-0000953,SYNEWPLD023-0000954,,,,,,,,,,,Yes,
SYNEWPLD023-0000957,SYNEWPLD023-0000957,SYNEWPLD023-0000959,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0000961,SYNEWPLD023-0000961,SYNEWPLD023-0000961,Yes,,,,,,,,,,Yes,
SYNEWPLD023-0000965,SYNEWPLD023-0000965,SYNEWPLD023-0000966,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000969,SYNEWPLD023-0000969,SYNEWPLD023-0000971,,,Yes,,,,,,,,Yes,
SYNEWPLD023-0000973,SYNEWPLD023-0000973,SYNEWPLD023-0000973,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000977,SYNEWPLD023-0000977,SYNEWPLD023-0000978,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000981,SYNEWPLD023-0000981,SYNEWPLD023-0000983,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000985,SYNEWPLD023-0000985,SYNEWPLD023-0000985,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000989,SYNEWPLD023-0000989,SYNEWPLD023-0000990,,,,,,,,Yes,,,,Yes
SYNEWPLD023-0000993,SYNEWPLD023-0000993,SYNEWPLD023-0000995,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000997,SYNEWPLD023-0000997,SYNEWPLD023-0000997,,,,,,,,,,Yes,,Yes
SYNEWPLD023-0001001,SYNEWPLD023-0001001,SYNEWPLD023-0001002,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0001005,SYNEWPLD023-0001005,SYNEWPLD023-0001007,,,,,,,,,,,,Yes
SYNEWPLD023-0001009,SYNEWPLD023-0001009,SYNEWPLD023-0001009,Yes,,,,,,,,,,,
SYNEWPLD023-0001013,SYNEWPLD023-0001013,SYNEWPLD023-0001014,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0001017,SYNEWPLD023-0001017,SYNEWPLD023-0001019,Yes,,Yes,,,,,,,,,
SYNEWPLD023-0001021,SYNEWPLD023-0001021,SYNEWPLD023-0001021,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0001025,SYNEWPLD023-0001025,SYNEWPLD023-0001026,Yes,,,,Yes,,,,,,,
SYNEWPLD023-0001029,SYNEWPLD023-0001029,SYNEWPLD023-0001031,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0001033,SYNEWPLD023-0001033,SYNEWPLD023-0001033,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0001037,SYNEWPLD023-0001037,SYNEWPLD023-0001038,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0001041,SYNEWPLD023-0001041,SYNEWPLD023-0001043,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0001045,SYNEWPLD023-0001045,SYNEWPLD023-0001045,,Yes,,,,,,,,Yes,,
SYNEWPLD023-0001049,SYNEWPLD023-0001049,SYNEWPLD023-0001050,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0001053,SYNEWPLD023-0001053,SYNEWPLD023-0001055,,Yes,,,,,,,,,,Yes
SYNEWPLD023-0001057,SYNEWPLD023-0001057,SYNEWPLD023-0001057,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0001061,SYNEWPLD023-0001061,SYNEWPLD023-0001062,,Yes,,,,,,,,,,
SYNEWPLD023-0001065,SYNEWPLD023-0001065,SYNEWPLD023-0001067,,,Yes,,,,,,,,,
SYNEWPLD023-0001069,SYNEWPLD023-0001069,SYNEWPLD023-0001069,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0001073,SYNEWPLD023-0001073,SYNEWPLD023-0001074,,,Yes,,Yes,,,,,,,
SYNEWPLD023-0001077,SYNEWPLD023-0001077,SYNEWPLD023-0001079,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0001081,SYNEWPLD023-0001081,SYNEWPLD023-0001081,,,Yes,,,,Yes,,,,,
SYNEWPLD023-0001085,SYNEWPLD023-0001085,SYNEWPLD023-0001086,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0001089,SYNEWPLD023-0001089,SYNEWPLD023-0001091,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0001093,SYNEWPLD023-0001093,SYNEWPLD023-0001093,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0001097,SYNEWPLD023-0001097,SYNEWPLD023-0001098,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0001101,SYNEWPLD023-0001101,SYNEWPLD023-0001103,,,,Yes,,,,,,,,Yes
SYNEWPLD023-0001105,SYNEWPLD023-0001105,SYNEWPLD023-0001105,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0001109,SYNEWPLD023-0001109,SYNEWPLD023-0001110,,Yes,,Yes,,,,,,,,
SYNEWPLD023-0001113,SYNEWPLD023-0001113,SYNEWPLD023-0001115,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0001117,SYNEWPLD023-0001117,SYNEWPLD023-0001117,,,,Yes,,,,,,,,
SYNEWPLD023-0001121,SYNEWPLD023-0001121,SYNEWPLD023-0001122,,,,,Yes,,,,,,,
SYNEWPLD023-0001125,SYNEWPLD023-0001125,SYNEWPLD023-0001127,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0001129,SYNEWPLD023-0001129,SYNEWPLD023-0001129,,,,,Yes,,Yes,,,,,
SYNEWPLD023-0001133,SYNEWPLD023-0001133,SYNEWPLD023-0001134,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0001137,SYNEWPLD023-0001137,SYNEWPLD023-0001139,,,,,Yes,,,,Yes,,,
SYNEWPLD023-0001141,SYNEWPLD023-0001141,SYNEWPLD023-0001141,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0001145,SYNEWPLD023-0001145,SYNEWPLD023-0001146,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0001149,SYNEWPLD023-0001149,SYNEWPLD023-0001151,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0001153,SYNEWPLD023-0001153,SYNEWPLD023-0001153,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0001157,SYNEWPLD023-0001157,SYNEWPLD023-0001158,,Yes,,,,Yes,,,,,,
SYNEWPLD023-0001161,SYNEWPLD023-0001161,SYNEWPLD023-0001163,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0001165,SYNEWPLD023-0001165,SYNEWPLD023-0001165,,,,Yes,,Yes,,,,,,
SYNEWPLD023-0001169,SYNEWPLD023-0001169,SYNEWPLD023-0001170,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0001173,SYNEWPLD023-0001173,SYNEWPLD023-0001175,,,,,,Yes,,,,,,
SYNEWPLD023-0001177,SYNEWPLD023-0001177,SYNEWPLD023-0001177,,,,,,,Yes,,,,,
SYNEWPLD023-0001181,SYNEWPLD023-0001181,SYNEWPLD023-0001182,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0001185,SYNEWPLD023-0001185,SYNEWPLD023-0001187,,,,,,,Yes,,Yes,,,
SYNEWPLD023-0001189,SYNEWPLD023-0001189,SYNEWPLD023-0001189,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0001193,SYNEWPLD023-0001193,SYNEWPLD023-0001194,,,,,,,Yes,,,,Yes,
SYNEWPLD023-0001197,SYNEWPLD023-0001197,SYNEWPLD023-0001199,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0001201,SYNEWPLD023-0001201,SYNEWPLD023-0001201,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0001205,SYNEWPLD023-0001205,SYNEWPLD023-0001206,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0001209,SYNEWPLD023-0001209,SYNEWPLD023-0001211,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0001213,SYNEWPLD023-0001213,SYNEWPLD023-0001213,,,,Yes,,,,Yes,,,,
SYNEWPLD023-0001217,SYNEWPLD023-0001217,SYNEWPLD023-0001218,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0001221,SYNEWPLD023-0001221,SYNEWPLD023-0001223,,,,,,Yes,,Yes,,,,
SYNEWPLD023-0001225,SYNEWPLD023-0001225,SYNEWPLD023-0001225,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0001229,SYNEWPLD023-0001229,SYNEWPLD023-0001230,,,,,,,,Yes,,,,
SYNEWPLD023-0001233,SYNEWPLD023-0001233,SYNEWPLD023-0001235,,,,,,,,,Yes,,,
SYNEWPLD023-0001237,SYNEWPLD023-0001237,SYNEWPLD023-0001237,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0001241,SYNEWPLD023-0001241,SYNEWPLD023-0001242,,,,,,,,,Yes,,Yes,
SYNEWPLD023-0001245,SYNEWPLD023-0001245,SYNEWPLD023-0001247,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0001249,SYNEWPLD023-0001249,SYNEWPLD023-0001249,Yes,,,,,,,,Yes,,,
SYNEWPLD023-0001253,SYNEWPLD023-0001253,SYNEWPLD023-0001254,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0001257,SYNEWPLD023-0001257,SYNEWPLD023-0001259,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0001261,SYNEWPLD023-0001261,SYNEWPLD023-0001261,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0001265,SYNEWPLD023-0001265,SYNEWPLD023-0001266,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0001269,SYNEWPLD023-0001269,SYNEWPLD023-0001271,,,,,,Yes,,,,Yes,,
SYNEWPLD023-0001273,SYNEWPLD023-0001273,SYNEWPLD023-0001273,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0001277,SYNEWPLD023-0001277,SYNEWPLD023-0001278,,,,,,,,Yes,,Yes,,
SYNEWPLD023-0001281,SYNEWPLD023-0001281,SYNEWPLD023-0001283,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0001285,SYNEWPLD023-0001285,SYNEWPLD023-0001285,,,,,,,,,,Yes,,
SYNEWPLD023-0001289,SYNEWPLD023-0001289,SYNEWPLD023-0001290,,,,,,,,,,,Yes,
SYNEWPLD023-0001293,SYNEWPLD023-0001293,SYNEWPLD023-0001295,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0001297,SYNEWPLD023-0001297,SYNEWPLD023-0001297,Yes,,,,,,,,,,Yes,
SYNEWPLD023-0001301,SYNEWPLD023-0001301,SYNEWPLD023-0001302,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0001305,SYNEWPLD023-0001305,SYNEWPLD023-0001307,,,Yes,,,,,,,,Yes,
SYNEWPLD023-0001309,SYNEWPLD023-0001309,SYNEWPLD023-0001309,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0001313,SYNEWPLD023-0001313,SYNEWPLD023-0001314,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0001317,SYNEWPLD023-0001317,SYNEWPLD023-0001319,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0001321,SYNEWPLD023-0001321,SYNEWPLD023-0001321,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0001325,SYNEWPLD023-0001325,SYNEWPLD023-0001326,,,,,,,,Yes,,,,Yes
SYNEWPLD023-0001329,SYNEWPLD023-0001329,SYNEWPLD023-0001331,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0001333,SYNEWPLD023-0001333,SYNEWPLD023-0001333,,,,,,,,,,Yes,,Yes
SYNEWPLD023-0001337,SYNEWPLD023-0001337,SYNEWPLD023-0001338,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0001341,SYNEWPLD023-0001341,SYNEWPLD023-0001343,,,,,,,,,,,,Yes
SYNEWPLD023-0001345,SYNEWPLD023-0001345,SYNEWPLD023-0001345,Yes,,,,,,,,,,,
SYNEWPLD023-0001349,SYNEWPLD023-0001349,SYNEWPLD023-0001350,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0001353,SYNEWPLD023-0001353,SYNEWPLD023-0001355,Yes,,Yes,,,,,,,,,
SYNEWPLD023-0001357,SYNEWPLD023-0001357,SYNEWPLD023-0001357,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0001361,SYNEWPLD023-0001361,SYNEWPLD023-0001362,Yes,,,,Yes,,,,,,,
SYNEWPLD023-0001365,SYNEWPLD023-0001365,SYNEWPLD023-0001367,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0001369,SYNEWPLD023-0001369,SYNEWPLD023-0001369,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0001373,SYNEWPLD023-0001373,SYNEWPLD023-0001374,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0001377,SYNEWPLD023-0001377,SYNEWPLD023-0001379,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0001381,SYNEWPLD023-0001381,SYNEWPLD023-0001381,,Yes,,,,,,,,Yes,,
SYNEWPLD023-0001385,SYNEWPLD023-0001385,SYNEWPLD023-0001386,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0001389,SYNEWPLD023-0001389,SYNEWPLD023-0001391,,Yes,,,,,,,,,,Yes
SYNEWPLD023-0001393,SYNEWPLD023-0001393,SYNEWPLD023-0001393,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0001397,SYNEWPLD023-0001397,SYNEWPLD023-0001398,,Yes,,,,,,,,,,
SYNEWPLD023-0001401,SYNEWPLD023-0001401,SYNEWPLD023-0001403,,,Yes,,,,,,,,,
SYNEWPLD023-0001405,SYNEWPLD023-0001405,SYNEWPLD023-0001405,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0001409,SYNEWPLD023-0001409,SYNEWPLD023-0001410,,,Yes,,Yes,,,,,,,
SYNEWPLD023-0001413,SYNEWPLD023-0001413,SYNEWPLD023-0001415,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0001417,SYNEWPLD023-0001417,SYNEWPLD023-0001417,,,Yes,,,,Yes,,,,,
SYNEWPLD023-0001421,SYNEWPLD023-0001421,SYNEWPLD023-0001422,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0001425,SYNEWPLD023-0001425,SYNEWPLD023-0001427,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0001429,SYNEWPLD023-0001429,SYNEWPLD023-0001429,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0001433,SYNEWPLD023-0001433,SYNEWPLD023-0001434,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0001437,SYNEWPLD023-0001437,SYNEWPLD023-0001439,,,,Yes,,,,,,,,Yes
SYNEWPLD023-0001441,SYNEWPLD023-0001441,SYNEWPLD023-0001441,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0001445,SYNEWPLD023-0001445,SYNEWPLD023-0001446,,Yes,,Yes,,,,,,,,
SYNEWPLD023-0001449,SYNEWPLD023-0001449,SYNEWPLD023-0001451,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0001453,SYNEWPLD023-0001453,SYNEWPLD023-0001453,,,,Yes,,,,,,,,
SYNEWPLD023-0001457,SYNEWPLD023-0001457,SYNEWPLD023-0001458,,,,,Yes,,,,,,,
SYNEWPLD023-0001461,SYNEWPLD023-0001461,SYNEWPLD023-0001463,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0001465,SYNEWPLD023-0001465,SYNEWPLD023-0001465,,,,,Yes,,Yes,,,,,
SYNEWPLD023-0001469,SYNEWPLD023-0001469,SYNEWPLD023-0001470,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0001473,SYNEWPLD023-0001473,SYNEWPLD023-0001475,,,,,Yes,,,,Yes,,,
SYNEWPLD023-0001477,SYNEWPLD023-0001477,SYNEWPLD023-0001477,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0001481,SYNEWPLD023-0001481,SYNEWPLD023-0001482,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0001485,SYNEWPLD023-0001485,SYNEWPLD023-0001487,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0001489,SYNEWPLD023-0001489,SYNEWPLD023-0001489,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0001493,SYNEWPLD023-0001493,SYNEWPLD023-0001494,,Yes,,,,Yes,,,,,,
SYNEWPLD023-0001497,SYNEWPLD023-0001497,SYNEWPLD023-0001499,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0001501,SYNEWPLD023-0001501,SYNEWPLD023-0001501,,,,Yes,,Yes,,,,,,
SYNEWPLD023-0001505,SYNEWPLD023-0001505,SYNEWPLD023-0001506,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0001509,SYNEWPLD023-0001509,SYNEWPLD023-0001511,,,,,,Yes,,,,,,
SYNEWPLD023-0001513,SYNEWPLD023-0001513,SYNEWPLD023-0001513,,,,,,,Yes,,,,,
SYNEWPLD023-0001517,SYNEWPLD023-0001517,SYNEWPLD023-0001518,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0001521,SYNEWPLD023-0001521,SYNEWPLD023-0001523,,,,,,,Yes,,Yes,,,
SYNEWPLD023-0001525,SYNEWPLD023-0001525,SYNEWPLD023-0001525,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0001529,SYNEWPLD023-0001529,SYNEWPLD023-0001530,,,,,,,Yes,,,,Yes,
SYNEWPLD023-0001533,SYNEWPLD023-0001533,SYNEWPLD023-0001535,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0001537,SYNEWPLD023-0001537,SYNEWPLD023-0001537,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0001541,SYNEWPLD023-0001541,SYNEWPLD023-0001542,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0001545,SYNEWPLD023-0001545,SYNEWPLD023-0001547,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0001549,SYNEWPLD023-0001549,SYNEWPLD023-0001549,,,,Yes,,,,Yes,,,,
SYNEWPLD023-0001553,SYNEWPLD023-0001553,SYNEWPLD023-0001554,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0001557,SYNEWPLD023-0001557,SYNEWPLD023-0001559,,,,,,Yes,,Yes,,,,
SYNEWPLD023-0001561,SYNEWPLD023-0001561,SYNEWPLD023-0001561,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0001565,SYNEWPLD023-0001565,SYNEWPLD023-0001566,,,,,,,,Yes,,,,
SYNEWPLD023-0001569,SYNEWPLD023-0001569,SYNEWPLD023-0001571,,,,,,,,,Yes,,,
SYNEWPLD023-0001573,SYNEWPLD023-0001573,SYNEWPLD023-0001573,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0001577,SYNEWPLD023-0001577,SYNEWPLD023-0001578,,,,,,,,,Yes,,Yes,
SYNEWPLD023-0001581,SYNEWPLD023-0001581,SYNEWPLD023-0001583,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0001585,SYNEWPLD023-0001585,SYNEWPLD023-0001585,Yes,,,,,,,,Yes,,,
SYNEWPLD023-0001589,SYNEWPLD023-0001589,SYNEWPLD023-0001590,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0001593,SYNEWPLD023-0001593,SYNEWPLD023-0001595,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0001597,SYNEWPLD023-0001597,SYNEWPLD023-0001597,,,,Yes,,,,,,Yes,,
